Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
4672,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,17,0,Task Completed,False
1935,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
8388,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,25,0,Task Completed,False
791,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,2,Task Completed,False
2062,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
9678,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
4225,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
2525,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,0,Task Completed,False
3760,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,1,Task Completed,False
2061,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,2,Task Completed,False
6525,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,18,0,Task Completed,False
7816,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,4,Task Completed,False
6516,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
3668,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,10,0,Task Completed,False
775,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
3537,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
73,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
