Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_22,False,0.82
Unknown,Result_ACAS_5_9472,Env_430,Task_468,False,0.6
Unknown,Result_ACAS_5_9472,Env_430,Task_150,False,0.07
Unknown,Result_ACAS_5_9472,Env_430,Task_108,False,0.64
Unknown,Result_ACAS_5_9472,Env_430,Task_134,False,0.29
Unknown,Result_ACAS_5_9472,Env_430,Task_329,False,1.07
Unknown,Result_ACAS_5_9472,Env_430,Task_338,False,0.62
Unknown,Result_ACAS_5_9472,Env_430,Task_451,False,0.62
Unknown,Result_ACAS_5_9472,Env_430,Task_504,False,0.84
Unknown,Result_ACAS_5_9472,Env_430,Task_507,False,1.01
Unknown,Result_ACAS_5_9472,Env_430,Task_406,False,0.51
Unknown,Result_ACAS_5_9472,Env_430,Task_556,False,1.98
Unknown,Result_ACAS_5_9472,Env_430,Task_518,False,0.87
Unknown,Result_ACAS_5_9472,Env_430,Task_54,False,0.73
Unknown,Result_ACAS_5_9472,Env_430,Task_213,False,1.7
Unknown,Result_ACAS_5_9472,Env_430,Task_58,False,1.31
Unknown,Result_ACAS_5_9472,Env_430,Task_313,False,0.21
Unknown,Result_ACAS_5_9472,Env_430,Task_130,False,1.55
Unknown,Result_ACAS_5_9472,Env_430,Task_76,False,1.52
Unknown,Result_ACAS_5_9472,Env_430,Task_350,False,1.45
Unknown,Result_ACAS_5_9472,Env_430,Task_517,False,0.96
Unknown,Result_ACAS_5_9472,Env_430,Task_547,False,0.76
Unknown,Result_ACAS_5_9472,Env_430,Task_387,False,0.49
Unknown,Result_ACAS_5_9472,Env_430,Task_84,False,1.04
Unknown,Result_ACAS_5_9472,Env_430,Task_233,False,0.18
Unknown,Result_ACAS_5_9472,Env_430,Task_261,False,1.73
Unknown,Result_ACAS_5_9472,Env_430,Task_258,False,1.42
Unknown,Result_ACAS_5_9472,Env_430,Task_292,False,1.17
Unknown,Result_ACAS_5_9472,Env_430,Task_38,False,1.56
Unknown,Result_ACAS_5_9472,Env_430,Task_86,False,1.11
Unknown,Result_ACAS_5_9472,Env_430,Task_377,False,1.21
Unknown,Result_ACAS_5_9472,Env_430,Task_164,False,1.65
Unknown,Result_ACAS_5_9472,Env_430,Task_325,False,0.94
Unknown,Result_ACAS_5_9472,Env_430,Task_211,False,0.41
Unknown,Result_ACAS_5_9472,Env_430,Task_311,False,0.63
Unknown,Result_ACAS_5_9472,Env_430,Task_43,False,0.08
Unknown,Result_ACAS_5_9472,Env_430,Task_339,False,1.37
Unknown,Result_ACAS_5_9472,Env_430,Task_381,False,0.4
Unknown,Result_ACAS_5_9472,Env_430,Task_619,False,0.03
Unknown,Result_ACAS_5_9472,Env_430,Task_432,False,1.55
Unknown,Result_ACAS_5_9472,Env_430,Task_33,False,0.93
